business_id,business_name,category,city,wilaya,rating,review_count,has_website,has_phone,has_social_media,social_platform_count,electrical_related,industrial_related,latitude,longitude
B001,Sarl Sodimfel,Electrical equipment supplier,Setif,Setif,4.8,6.0,False,True,False,0.0,True,True,36.1890767,5.4401931
B002,Samcab - Fourmas Elec,Electrical supply store,Setif,Setif,5.0,1.0,False,True,False,0.0,True,False,36.1989375,5.4340817
B003,INES Électricité,Electrical supply store,Setif,Setif,,0.0,False,True,False,0.0,True,True,36.1763005,5.4174938
B004,SABIL ELEC,Machine maintenance service,Setif,Setif,5.0,1.0,False,True,False,0.0,True,True,36.1867915,5.4277781
B005,Electronique El Merikh setif 2,Electronics store,Setif,Setif,4.7,9.0,False,True,False,0.0,True,False,36.2118507,5.4425722
B006,Ets. Beddiaf Abd El Halim,Electrical supply store,Setif,Setif,,0.0,False,True,False,0.0,True,False,36.1994509,5.4336941
B007,TRADELEC Eurl,Electrical supply store,Setif,Setif,,0.0,False,True,False,0.0,True,True,36.1759658,5.4182125
B008,SETIFLEX,Hydraulic repair service,Setif,Setif,4.0,2.0,False,True,False,0.0,False,True,36.1987822,5.4350373
B009,SODIMFEL SETIF STOCK,Electrical equipment supplier,Guedjel,Setif,,0.0,True,True,False,0.0,True,True,36.1325275,5.4574545
B010,SARL KAZELEC,Electrical equipment supplier,Guedjel,Setif,5.0,7.0,False,True,False,0.0,True,True,36.126897,5.461822
B011,zone electrique,Electrical appliance wholesaler,El Eulma,Setif,5.0,1.0,False,True,False,0.0,True,True,36.1522485,5.672407
B012,Groupe Riadh El Feth,Corporate office,Setif,Setif,5.0,2.0,False,True,False,0.0,False,False,36.1946743,5.4119953
B013,MB Electro,Appliance store,Setif,Setif,5.0,5.0,False,True,False,0.0,True,False,36.2012354,5.4143226
B014,Moonlight,Electrical supply store,Setif,Setif,,0.0,False,False,False,0.0,True,False,36.2001808,5.4327571
B015,SARL MARBER ET GRANIT CHEURFA BASSIT,Electronics store,El Eulma,Setif,5.0,1.0,False,True,False,0.0,True,True,36.15287,5.6754685
B016,Électricien Bâtimentset industrielle,Electrician,Setif,Setif,4.8,13.0,False,True,False,0.0,True,True,36.1897593,5.4107984
B017,Snc frère bendaoud électricité industrielle,Store,Setif,Setif,5.0,8.0,False,True,False,0.0,True,True,36.2066995,5.4175439
B018,Electricien industriel en bâtiment,Electrician,Ain Arnat,Setif,5.0,3.0,False,True,False,0.0,True,True,36.1808742,5.3104075
B019,ABB électricité industriel,Electronics store,Setif,Setif,,0.0,False,True,False,0.0,True,True,36.1760143,5.4096944
B020,Electricite industrial maintenance,Electrical equipment supplier,Setif,Setif,5.0,1.0,False,True,False,0.0,True,True,36.2852281,5.4108292
B021,Zendaoui electric,Electronics store,Setif,Setif,5.0,1.0,False,True,False,0.0,True,False,36.1961296,5.4289854
B022,Dar Electronique,Store,Setif,Setif,4.4,19.0,False,True,False,0.0,True,False,36.1886126,5.4409485
B023,مؤسسة عبد المالك لبيع الإجهزة الكهرومنزلية بالتقسيط,Appliance store,Setif,Setif,4.4,8.0,False,True,False,0.0,True,False,36.2009716,5.4343731
B024,Taiba Electric,Electrical supply store,El Eulma,Setif,5.0,5.0,False,True,False,0.0,True,False,36.152667,5.6715346
B025,Ben Lahcene électricité industrielle el eulma,Electronics store,El Eulma,Setif,5.0,3.0,False,True,False,0.0,True,True,36.1534811,5.6719031
B026,K-PLAST Cables,Corporate office,Setif,Setif,4.5,35.0,False,True,False,0.0,False,False,36.1555926,5.4041112
B027,FAY CABLE,Corporate office,Setif,Setif,3.8,16.0,False,True,False,0.0,False,True,36.1552821,5.4050897
B028,Prodilog store setif,Electronics store,Setif,Setif,4.5,2.0,False,True,False,0.0,True,False,36.1921581,5.426417
B029,Electro star,Electronics company,El Eulma,Setif,5.0,1.0,False,True,False,0.0,True,False,36.1500876,5.6668366
B030,IDEAL SOLUTION FACILITÉ SETIF,Appliance store,Setif,Setif,5.0,2.0,False,True,False,0.0,True,False,36.1808984,5.4025758
B031,Sarl FAMELEC distributeur Schneider,Electrical supply store,El Eulma,Setif,,0.0,False,True,False,0.0,True,True,36.1603017,5.6985048
B032,Sarl 2aSYS Automation,Automation company,Setif,Setif,4.8,5.0,True,True,False,0.0,False,True,36.1792849,5.4230886
B033,Metaplast Industrie,Manufacturer,Setif,Setif,4.5,2.0,True,True,False,0.0,False,True,36.1776417,5.4196722
B034,la maison Industriel,Electronics store,Setif,Setif,5.0,3.0,False,True,False,0.0,True,True,36.2053421,5.4542214
B035,EST PROFILAGE / DILMI AUTOMATISME,Automation company,Setif,Setif,4.0,1.0,False,True,False,0.0,False,False,36.1921277,5.4245613
B036,NOVASOLUTION montage maintenance industrielle,Construction company,Setif,Setif,5.0,1.0,False,False,False,0.0,False,True,36.1799569,5.4086403
B037,National Company of Structural Steel and Biolermaking,Metal processing company,Setif,Setif,4.3,3.0,False,True,False,0.0,False,False,36.1706136,5.4179529
B038,Novum Industrial Consulting Services.,Factory equipment supplier,Setif,Setif,4.0,5.0,True,True,False,0.0,False,True,36.2004769,5.3846276
B039,Merouane courroie industrielle,Auto parts store,Setif,Setif,5.0,3.0,False,True,False,0.0,False,True,36.1996115,5.4489874
B040,URBASE,Zone Industrielle de Sétif,Setif,Setif,4.0,2.0,False,True,False,0.0,False,True,36.1616893,5.4134256
B041,socoemod,Manufacturer,Setif,Setif,3.6,19.0,True,True,False,0.0,False,False,36.1780439,5.4260495
B042,Machine setif,Millwork shop,Setif,Setif,,0.0,False,False,False,0.0,False,True,36.204813,5.4414849
B043,"SGT ALGERIE SPA UNITÉ DE PRÉFORME, SÉTIF",Manufacturer,Setif,Setif,5.0,4.0,False,True,False,0.0,False,False,36.1768382,5.4214864
B044,ZOMRA,Corporate office,Setif,Setif,4.5,6.0,True,True,False,0.0,False,False,36.1925132,5.4355745
B045,"Dadi plastique s.a.r.l.,",Plastic fabrication company,Setif,Setif,5.0,6.0,False,True,False,0.0,False,False,36.1545202,5.429664
B046,EURL TISMAC,Tire shop,Setif,Setif,5.0,2.0,False,False,False,0.0,False,True,36.1640915,5.4256106
B047,Maintenance industriel (bobinage),Machine shop,Ain Arnat,Setif,,0.0,False,False,False,0.0,False,True,36.1908642,5.3204077
B048,EURL ZOUAOUI TRAVAUX DE CONSTRUCTION,Road construction company,Setif,Setif,4.4,22.0,True,True,False,0.0,False,True,36.2047333,5.4501001
B049,Omarco - عماركو,Real estate developer,Setif,Setif,5.0,17.0,False,True,False,0.0,False,False,36.1718018,5.3948781
B050,AMO,Construction company,Setif,Setif,5.0,4.0,False,False,False,0.0,False,False,36.1524556,5.4226062
B051,EMIVAR Setif,Construction company,Setif,Setif,4.2,12.0,True,True,False,0.0,False,False,36.166276,5.3899641
B052,CERA HOUSE SETIF,Metal construction company,Setif,Setif,5.0,2.0,False,True,False,0.0,False,False,36.2025875,5.4311406
