rank,business_id,business_name,category,city,wilaya,cluster,rating,review_count,has_website,has_phone,has_social_media,electrical_related,industrial_related,electricity_meter_score,gas_meter_score,gas_detector_score,wholesale_score,business_quality_score,business_presence_score,prospect_score,prospect_level,best_product,reasons
1,B010,SARL KAZELEC,Electrical equipment supplier,Guedjel,Setif,4,5.0,7.0,False,True,False,True,True,100,30,65,100,78.02285798684255,35,85.85,HIGH,Electricity meters,strong electricity-meter fit; strong wholesale/distribution potential; electrical-related activity; industrial-related activity; high customer rating; has phone contact
2,B001,Sarl Sodimfel,Electrical equipment supplier,Setif,Setif,4,4.8,6.0,False,True,False,True,True,100,30,65,100,74.46551969296921,35,85.14,HIGH,Electricity meters,strong electricity-meter fit; strong wholesale/distribution potential; electrical-related activity; industrial-related activity; high customer rating; has phone contact
3,B020,Electricite industrial maintenance,Electrical equipment supplier,Setif,Setif,4,5.0,1.0,False,True,False,True,True,100,30,65,100,66.00761932894751,35,83.45,HIGH,Electricity meters,strong electricity-meter fit; strong wholesale/distribution potential; electrical-related activity; industrial-related activity; high customer rating; has phone contact
4,B011,zone electrique,Electrical appliance wholesaler,El Eulma,Setif,4,5.0,1.0,False,True,False,True,True,100,30,65,100,66.00761932894751,35,83.45,HIGH,Electricity meters,strong electricity-meter fit; strong wholesale/distribution potential; electrical-related activity; industrial-related activity; high customer rating; has phone contact
5,B009,SODIMFEL SETIF STOCK,Electrical equipment supplier,Guedjel,Setif,0,,0.0,True,True,False,True,True,100,30,65,100,30.0,75,82.25,HIGH,Electricity meters,strong electricity-meter fit; strong wholesale/distribution potential; electrical-related activity; industrial-related activity; has website; has phone contact
6,B025,Ben Lahcene électricité industrielle el eulma,Electronics store,El Eulma,Setif,4,5.0,3.0,False,True,False,True,True,80,10,50,70,72.01523865789504,35,69.15,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; industrial-related activity; high customer rating; has phone contact
7,B101,Bergerat Monnoyeur Algérie - Setif | BMA,Construction equipment supplier,Setif,Setif,2,4.0,6.0,True,True,False,False,True,30,30,45,100,64.86551969296922,75,67.22,MEDIUM,Gas leak detectors,strong wholesale/distribution potential; industrial-related activity; has website; has phone contact
8,B034,la maison Industriel,Electronics store,Setif,Setif,4,5.0,3.0,False,True,False,True,True,75,10,50,70,72.01523865789504,35,67.15,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; industrial-related activity; high customer rating; has phone contact
9,B031,Sarl FAMELEC distributeur Schneider,Electrical supply store,El Eulma,Setif,0,,0.0,False,True,False,True,True,80,10,65,95,30.0,35,67.0,MEDIUM,Electricity meters,strong electricity-meter fit; strong wholesale/distribution potential; electrical-related activity; industrial-related activity; has phone contact
10,B038,Novum Industrial Consulting Services.,Factory equipment supplier,Setif,Setif,2,4.0,5.0,True,True,False,False,True,30,30,45,100,63.52947068393693,75,66.96,MEDIUM,Gas leak detectors,strong wholesale/distribution potential; industrial-related activity; has website; has phone contact
11,B015,SARL MARBER ET GRANIT CHEURFA BASSIT,Electronics store,El Eulma,Setif,4,5.0,1.0,False,True,False,True,True,75,10,50,70,66.00761932894751,35,65.95,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; industrial-related activity; high customer rating; has phone contact
12,B005,Electronique El Merikh setif 2,Electronics store,Setif,Setif,4,4.7,9.0,False,True,False,True,False,75,0,20,60,76.35687943221913,35,65.52,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; high customer rating; has phone contact
13,B013,MB Electro,Appliance store,Setif,Setif,4,5.0,5.0,False,True,False,True,False,75,0,20,60,75.52947068393694,35,65.36,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; high customer rating; has phone contact
14,B024,Taiba Electric,Electrical supply store,El Eulma,Setif,4,5.0,5.0,False,True,False,True,False,75,0,35,60,75.52947068393694,35,65.36,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; high customer rating; has phone contact
15,B002,Samcab - Fourmas Elec,Electrical supply store,Setif,Setif,4,5.0,1.0,False,True,False,True,False,75,0,35,60,66.00761932894751,35,63.45,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; high customer rating; has phone contact
16,B021,Zendaoui electric,Electronics store,Setif,Setif,4,5.0,1.0,False,True,False,True,False,75,0,20,60,66.00761932894751,35,63.45,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; high customer rating; has phone contact
17,B023,مؤسسة عبد المالك لبيع الإجهزة الكهرومنزلية بالتقسيط,Appliance store,Setif,Setif,4,4.4,8.0,False,True,False,True,False,70,0,20,60,71.84370270997883,35,62.62,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; has phone contact
18,B030,IDEAL SOLUTION FACILITÉ SETIF,Appliance store,Setif,Setif,4,5.0,2.0,False,True,False,True,False,70,0,20,60,69.52185135498941,35,62.15,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; high customer rating; has phone contact
19,B028,Prodilog store setif,Electronics store,Setif,Setif,4,4.5,2.0,False,True,False,True,False,70,0,20,60,63.521851354989415,35,60.95,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; high customer rating; has phone contact
20,B007,TRADELEC Eurl,Electrical supply store,Setif,Setif,0,,0.0,False,True,False,True,True,80,10,65,70,30.0,35,60.75,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; industrial-related activity; has phone contact
21,B003,INES Électricité,Electrical supply store,Setif,Setif,0,,0.0,False,True,False,True,True,80,10,65,70,30.0,35,60.75,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; industrial-related activity; has phone contact
22,B019,ABB électricité industriel,Electronics store,Setif,Setif,0,,0.0,False,True,False,True,True,80,10,50,70,30.0,35,60.75,MEDIUM,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; industrial-related activity; has phone contact
23,B029,Electro star,Electronics company,El Eulma,Setif,4,5.0,1.0,False,True,False,True,False,75,0,20,45,66.00761932894751,35,59.7,MEDIUM,Electricity meters,strong electricity-meter fit; electrical-related activity; high customer rating; has phone contact
24,B017,Snc frère bendaoud électricité industrielle,Store,Setif,Setif,4,5.0,8.0,False,True,False,True,True,25,10,50,70,79.04370270997883,35,58.56,MEDIUM,Gas leak detectors,moderate resale potential; electrical-related activity; industrial-related activity; high customer rating; has phone contact
25,B006,Ets. Beddiaf Abd El Halim,Electrical supply store,Setif,Setif,0,,0.0,False,True,False,True,False,70,0,35,60,30.0,35,54.25,LOW,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity; has phone contact
26,B018,Electricien industriel en bâtiment,Electrician,Ain Arnat,Setif,4,5.0,3.0,False,True,False,True,True,80,10,50,10,72.01523865789504,35,54.15,LOW,Electricity meters,strong electricity-meter fit; electrical-related activity; industrial-related activity; high customer rating; has phone contact
27,B016,Électricien Bâtimentset industrielle,Electrician,Setif,Setif,4,4.8,13.0,False,True,False,True,True,75,10,50,10,80.47313902191672,35,53.84,LOW,Electricity meters,strong electricity-meter fit; electrical-related activity; industrial-related activity; high customer rating; has phone contact
